"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Etching","326
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","332
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","334
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Art","338
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","16","3.281","56.3","18.8","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","346
002","","15","3.467","53.3","20.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","346
003","","15","3.600","60.0","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Basic Graphic Design","Course Total","","46","3.446","56.5","19.6","10.9","4.3","2.2","2.2","4.3",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
004","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","26","3.750","76.9","19.2",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Internships in Art","393
001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","428
001","","20","3.625","85.0",".",".","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","428
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","Course Total","","38","3.803","92.1",".",".","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Graphic Design History","438
001","","36","3.361","41.7","11.1","36.1","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"","448
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
009","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","66","3.948","95.5","1.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","452
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Branding Design","458
001","","16","3.156","6.3","37.5","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Packaging Design","465
001","","15","3.267","26.7","20.0","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","Course Total","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
