"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","87","3.157","14.9","36.8","23.0","17.2","5.7",".","1.1",".",".",".",".",".",".",".","1.1","."
"","101
002","76","3.060","11.8","31.6","36.8","6.6","6.6","3.9","1.3",".",".",".",".",".",".",".","1.3","."
"","101
003","186","3.162","26.3","27.4","23.7","11.3","5.9","2.2","2.7","0.5",".",".",".",".",".",".",".","."
"","101
004","40","3.463","25.0","47.5","22.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","38","3.351","34.2","15.8","34.2","10.5","2.6",".",".",".",".",".",".",".",".","2.6",".","."
"","101
091","28","3.630","64.3","10.7","7.1","10.7","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","101
092","21","3.333","38.1","28.6","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","476","3.220","25.2","29.6","25.0","10.9","5.0","1.7","1.5","0.2",".",".",".",".","0.2","0.2","0.4","."
"Spec Topics:Philos-Freshmen","104
001","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","210
002","81","3.234","35.8","19.8","22.2","8.6","6.2","2.5","2.5",".",".",".",".",".",".",".","2.5","."
"","211
001","85","3.679","61.2","24.7","8.2","1.2","2.4",".","1.2",".",".",".",".",".",".",".","1.2","."
"","211
002","71","3.296","14.1","47.9","28.2","5.6","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","211
003","75","3.308","54.7","6.7","10.7","13.3","6.7","1.3","4.0","1.3",".",".",".",".",".","1.3",".","."
"Elementary Logic","Course Total","231","3.441","44.6","26.0","15.2","6.5","3.9","0.9","1.7","0.4",".",".",".",".",".","0.4","0.4","."
"Philosophy and the Sciences","220
001","54","3.598","53.7","16.7","18.5","3.7",".","1.9",".","1.9",".",".",".",".","3.7",".",".","."
"","241
001","85","3.795","75.3","17.6","1.2","1.2",".","1.2","1.2",".",".",".",".",".","1.2",".","1.2","."
"","241
002","80","3.594","60.0","26.3","3.8","2.5","3.8","2.5","1.3",".",".",".",".",".",".",".",".","."
"","241
003","64","3.781","67.2","23.4","7.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","241
091","19","3.474","52.6","26.3","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","241
092","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
093","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
094","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","298","3.728","68.8","21.1","4.0","2.0","1.3","1.3","0.7",".",".",".",".",".","0.3",".","0.3","."
"Ethics in Business","243
001","78","3.583","60.3","20.5","9.0","3.8","3.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"","341
001","91","3.721","51.6","37.4","3.3",".","2.2",".",".",".",".",".",".",".",".","5.5",".","."
"","341
002","152","3.786","71.7","16.4","9.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","341
003","80","3.594","46.3","30.0","20.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","341
004","84","3.589","51.2","27.4","16.7","2.4","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","341
091","18","3.500","77.8",".","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","341
092","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","23","3.717","73.9","13.0","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","341
094","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","341
095","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","504","3.696","60.7","23.8","10.9","1.8","1.2","0.2","0.4",".",".",".",".",".",".","1.0",".","."
"History-Modern Philosophy","432
001","31","3.222","16.1","41.9","19.4","3.2",".","3.2","3.2",".",".",".",".",".",".",".","12.9","."
"Existentialism","440
001","28","3.479","21.4","39.3","25.0",".",".",".",".",".",".",".",".",".","3.6","10.7",".","."
"Theory of Knowledge","503
001","29","3.120","17.2","34.5","20.7","6.9",".",".","6.9",".",".",".",".",".","3.4",".","10.3","."
"Symbolic Logic","511
001","17","3.750","64.7","11.8","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Language and Meaning","516
001","20","3.368","25.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Special Topic","522
001","26","3.864","65.4","15.4","3.8",".",".",".",".",".",".",".",".",".","11.5",".",".","3.8"
"Freedom Fate and Choice","530
001","24","3.354","41.7","20.8","20.8","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Ethics and the Brain","534
001","15","3.567","60.0","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
