"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240","001","43","3.860","90.7","2.3",".","2.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Pract in World Lang (K-12)","243","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Videogames & Learning","277","001","167","3.817","84.4","7.2","3.6","1.8","1.8",".","1.2",".",".",".",".",".",".",".",".","."
"Globalizing Education","292","001","20","3.711","70.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","5.0"
"Music Learning and Teaching 1","301","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305","001","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","309","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","311","001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312","001","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315","001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316","001","22","3.795","86.4","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Dimensions of Literacy","317","001","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","318","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","319","001","23","3.478","43.5","21.7","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","320","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","325","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds Young Eng Learners","327","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arts Integration","328","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340","001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages (K-8)","342","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","001","20","3.700","55.0","40.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","357","002","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","003","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","","Course Total","54","3.769","68.5","22.2","5.6","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359","001","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Prac-Early Chldhd Ed-Kinder","363","001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364","001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364","002","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","","Course Total","44","3.898","79.5","20.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum II","367","001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Teaching of Reading","368","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369","003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","370","001","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
