"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"Third Semester Hmong
225","001","","18","3.583","50.0","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian
227","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai
229","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese
231","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi
233","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Modern Tibetan
235","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Persian
237","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu
239","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"301","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"301","002","","20","3.675","80.0","5.0",".",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"301","003","","11","3.545","72.7","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","Course Total","","53","3.755","83.0","7.5","1.9",".","5.7",".","1.9",".",".",".",".",".",".",".",".","."
"303","001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"303","002","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","Course Total","","28","3.778","60.7","28.6","7.1",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Fifth Semester Korean
305","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Filipino
323","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong
325","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Thai
329","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese
331","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi
333","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian
337","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu
339","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","14","3.769","85.7",".",".",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Second Semester Asian Language
356","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 183 of 450",""
