"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"455","004","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"455","005","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Behavioral Neurosci","Course Total","","55","3.773","70.9","14.5","12.7","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"481
Honors Smr-Cognitive Psych","001","","11","3.556","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"487
Honors Smr-Psych of Motivation","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"509
Abnormal Psychology","001","","382","2.981","20.4","10.2","36.1","9.7","20.2","0.8","0.3","2.4",".",".",".",".",".",".",".","."
"512
Bhv Pathology-Psychoses","001","","135","2.973","23.0","26.7","14.8","12.6","11.9","5.9","3.0","1.5",".",".",".",".",".",".",".","0.7"
"517","001","","27","3.630","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","002","","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"517","003","","27","3.241","29.6","37.0","18.5","3.7","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","75","3.493","40.0","37.3","16.0","2.7","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","20","3.350","30.0","45.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","","60","3.293","21.7","33.3","26.7","10.0","5.0",".",".","3.3",".",".",".",".",".",".",".","."
"560
Child Psychology","001","","190","3.270","25.3","29.5","25.8","8.4","7.4","1.1",".","1.6","0.5",".",".",".",".",".",".","0.5"
"580
Honors Seminar in Child Psych","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"618","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","004","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","93","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 279 of 397",""
