"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","14","",".",".",".",".",".",".",".","28.6","7.1",".",".","64.3",".",".",".","."
"ART HIST
180","Dept. Total","1203","3.363","37.2","22.5","17.7","7.3","5.7","1.1","1.4","3.5","0.2",".",".","0.9","0.3","0.2","1.7","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","69","3.385","36.2","23.2","24.6","2.9","7.2","1.4",".",".",".",".",".",".",".",".","2.9","1.4"
"Sophomore","","313","3.398","42.8","24.0","14.7","6.7","7.3","1.0","1.9","1.0",".",".",".",".","0.3","0.3",".","."
"Junior","","283","3.262","34.3","25.1","18.0","10.2","6.4","2.5","2.1","0.7",".",".",".","0.4",".","0.4",".","."
"Senior","","398","3.326","33.7","23.1","21.9","7.8","5.5","0.5","1.3","4.5","0.3",".",".","0.3","0.8",".","0.3","0.3"
"Undergraduates","","1063","3.336","36.7","23.9","18.9","7.8","6.4","1.2","1.6","2.2","0.1",".",".","0.2","0.4","0.2","0.3","0.2"
"Special","","37","3.365","10.8",".","5.4","5.4",".",".",".","27.0",".",".",".",".",".","2.7","48.6","."
"Graduate","","103","3.738","52.4","16.5","9.7","2.9",".",".",".","8.7","1.0",".",".","8.7",".",".",".","."
"","Dept. Total","1203","3.363","37.2","22.5","17.7","7.3","5.7","1.1","1.4","3.5","0.2",".",".","0.9","0.3","0.2","1.7","0.2"
