"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","102","3.735","74.5","8.8","10.8","4.9",".",".","1.0",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","73","3.041","15.1","30.1","27.4","13.7","9.6","2.7","1.4",".",".",".",".",".",".",".",".","."
"General Botany","130","001","148","2.750","19.6","10.1","28.4","8.8","23.0","8.1","2.0",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133","001","24","3.125","37.5","16.7","8.3","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","23","2.739","13.0","4.3","43.5","4.3","30.4","4.3",".",".",".",".",".",".",".",".",".","."
"","152","001","20","3.050","30.0","5.0","40.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","152","002","23","3.152","26.1","26.1","30.4","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","152","003","16","3.031","37.5","6.3","25.0","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","59","3.085","30.5","13.6","32.2","6.8","10.2","5.1","1.7",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","112","2.946","28.6","6.3","24.1","18.8","15.2","6.3",".",".",".",".",".",".",".",".","0.9","."
"Principles-Plant Structure","305","001","14","3.154","35.7","14.3","28.6",".","7.1",".","7.1",".","7.1",".",".",".",".",".",".","."
"Fungi","332","001","14","3.500","57.1",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","22","3.182","40.9","9.1","18.2","9.1","22.7",".",".",".",".",".",".",".",".",".",".","."
"","402","002","15","3.400","33.3","33.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","37","3.270","37.8","18.9","16.2","13.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","15","2.467","6.7","6.7","20.0","20.0","40.0","6.7",".",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","32","3.661","56.3","15.6","25.0",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"General Ecology","460","001","33","3.078","24.2","24.2","24.2","9.1","9.1","3.0","3.0",".",".",".",".",".",".",".","3.0","."
"Environmental Sys Concepts","461","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Genetics","466","001","16","2.688","6.3","18.8","18.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Systems Biology","468","001","44","3.625","61.4","11.4","25.0",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","500","001","31","3.397","35.5","22.6","25.8","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phylogenetic Anal-Molec Data","563","001","11","3.350","54.5","9.1","18.2",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Capstone-Field Biology II","640","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","692","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","7","3.684","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 167 of 397",""
