"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"466
General Genetics","001","","68","2.642","14.7","13.2","26.5","19.1","8.8","10.3","5.9","1.5",".",".",".",".",".",".",".","."
"470
Intro to Animal Development","001","","142","3.018","28.2","8.5","29.6","9.2","19.7","2.1","0.7",".",".",".",".",".","0.7",".","1.4","."
"510
Ecology of Fishes","001","","65","2.836","23.1","3.1","36.9","7.7","20.0","6.2","1.5","1.5",".",".",".",".",".",".",".","."
"511","001","","20","3.525","55.0","20.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"511","002","","12","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","32","3.406","40.6","21.9","28.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","64","2.952","26.6","14.1","15.6","17.2","21.9","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"521","001","","7","3.143","28.6","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"521","002","","17","2.735","17.6","17.6","17.6","11.8","23.5","11.8",".",".",".",".",".",".",".",".",".","."
"521","003","","9","2.944","22.2","22.2","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"521","004","","14","2.250","14.3","14.3","7.1","7.1","35.7","7.1","14.3",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","47","2.691","19.1","19.1","14.9","8.5","25.5","8.5","4.3",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","49","3.337","42.9","20.4","20.4","6.1","4.1","6.1",".",".",".",".",".",".",".",".",".","."
"530
Insect Behavior","001","","10","3.100","10.0","40.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"532
Sociobiol/Social Ethology","001","","55","3.370","32.7","25.5","25.5","10.9","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Laboratory in Cell Biology","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Comparative Physiology","001","","28","3.518","53.6","21.4","10.7","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"612
Comparative Physiology Lab","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Development of Nervous Sys","001","","45","3.407","35.6","37.8","13.3",".","4.4","2.2","2.2","2.2",".",".",".",".",".","2.2",".","."
"640
Capstone-Field Biology II","001","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","6","3.250","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"680","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.923","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
