"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","190","3.148","20.0","28.4","20.5","18.9","6.3","2.1",".","3.2",".",".",".",".",".",".","0.5","."
"Real Estate Law","312
001","54","3.343","18.5","46.3","16.7","7.4","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","14","3.464","42.9","7.1","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","5","***","","","","","","","","","","","","","","","",""
"Real Estate Finance","410
001","86","3.268","24.4","32.6","30.2","3.5","2.3","3.5","1.2","1.2","1.2",".",".",".",".",".",".","."
"","415
001","18","3.111","11.1","55.6","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","415
002","38","3.392","31.6","18.4","42.1","5.3",".",".",".","2.6",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","56","3.300","25.0","30.4","32.1","7.1","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","66","3.831","65.2","33.3",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","26","3.500","34.6","46.2","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","26","3.860","69.2","26.9",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Land Use Controls on Bus","745
001","18","3.588","50.0","16.7","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
091","11","3.556","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870
001","16","3.536","37.5","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Adv Urban Land Economics","875
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","630","3.423","36.8","29.5","18.3","7.9","3.0","1.1","0.3","2.1","0.2",".",".",".","0.2",".","0.6","."
