"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","13","3.308","61.5",".","23.1",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","34","2.588","11.8","14.7","23.5","20.6","14.7","8.8","5.9",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","12","2.833","25.0","8.3","25.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","14","3.615","35.7","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"350
Intro to Materials Science","001","","140","3.307","37.1","22.9","26.4","4.3","4.3","3.6","1.4",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","26","2.962","15.4","19.2","38.5","11.5","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"360","001","","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"360","002","","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","14","3.321","21.4","42.9","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","14","3.615","42.9","28.6","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"379
Materials Sys&Design Proj I","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","001","","40","3.569","47.5","30.0","17.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Multicomponent Phase Equil","001","","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"461
Advanced Metal Casting","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","23","3.341","21.7","21.7","52.2",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"699","028","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.897","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Anal of Matrial","001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","21","",".",".",".",".",".",".",".","52.4",".",".",".","47.6",".",".",".","."
"803","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"803","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 135 of 397",""
