"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","399","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","11","3.870","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","","36","3.000","25.0",".","50.0",".","8.3","8.3",".","2.8","5.6",".",".",".",".",".",".","."
"","412","002","","11","3.455","72.7",".","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","412","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","","53","3.204","41.5",".","35.8",".","7.5","7.5",".","1.9","3.8",".",".",".","1.9",".",".","."
"Electromag Wave Transmissn","420","001","","41","3.134","14.6","24.4","39.0","17.1","4.9",".",".",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","","31","3.517","29.0","41.9","25.8",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"Introduction to Cryptography","435","001","","23","2.818","17.4","8.7","30.4","17.4","13.0","8.7",".","4.3",".",".",".",".",".",".",".","."
"Communication Systems II","437","001","","10","2.700","20.0","10.0","40.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Communication Systems Lab I","438","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","34","3.544","35.3","38.2","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math&Comp Model-Physiol Sys","461","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466","001","","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","489","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","491","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","026","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","001","","10","3.100","30.0","10.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","511","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","","Course Total","","11","3.182","36.4","9.1","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Networks","537","001","","44","3.386","38.6","25.0","20.5","6.8","9.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","17","3.706","64.7","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","63","3.371","33.3","27.0","23.8","7.9","6.3",".",".",".",".",".",".",".",".",".","1.6","."
"","552","001","","31","3.145","35.5","9.7","25.8","12.9","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"","552","002","","36","3.132","16.7","30.6","19.4","16.7","11.1",".",".","2.8",".",".",".",".",".",".",".","2.8"
"Intro-Computer Architecture","","Course Total","","67","3.138","25.4","20.9","22.4","14.9","11.9","1.5",".","1.5",".",".",".",".",".",".",".","1.5"
"Digital Engineering Lab","554","001","","33","3.727","63.6","24.2","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
