"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","105","005","15","2.633","6.7","20.0","33.3","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","105","007","17","3.059","5.9","47.1","35.3",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","105","008","11","2.909","9.1","27.3","45.5","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","105","009","16","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","","Course Total","87","3.011","6.9","33.3","40.2","10.3","4.6","1.1","3.4",".",".",".",".",".",".",".",".","."
"Directed Study","199","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","236","001","18","3.353","22.2","38.9","22.2","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","236","002","16","3.063","31.3","25.0","25.0",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"Bascom Course","","Course Total","34","3.212","26.5","32.4","23.5","2.9","5.9","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","216","2.900","12.5","21.3","37.5","10.6","9.7","4.2","3.2","0.9",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","138","3.290","26.8","32.6","25.4","5.8","5.1","2.2","0.7","0.7",".",".",".",".",".",".",".","0.7"
"Thry&Pract-Argument&Debate","262","001","86","3.259","19.8","37.2","27.9","7.0","4.7","2.3",".","1.2",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","95","3.463","37.9","28.4","25.3","5.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","270","001","48","3.087","16.7","25.0","25.0","20.8","6.3","2.1",".","4.2",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","110","3.468","56.4","14.5","15.5","3.6","4.5","2.7","1.8",".",".",".",".",".",".","0.9",".","."
"Introduction to Film","350","001","154","2.993","9.7","21.4","34.4","22.7","7.1","1.3",".","1.9",".",".",".",".","0.6","0.6",".","."
"Introduction to Television","351","001","160","3.028","8.8","27.5","35.6","19.4","8.1",".","0.6",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","92","3.217","20.7","32.6","26.1","13.0","6.5","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355","001","116","3.257","14.7","37.9","31.9","8.6","4.3",".",".","1.7",".",".",".",".",".","0.9",".","."
"Intro to Rhetorical Thry&Crit","360","001","38","3.316","23.7","26.3","42.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","58","3.293","31.0","25.9","22.4","12.1","8.6",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","97","3.139","12.4","32.0","32.0","20.6","2.1","1.0",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371","001","42","2.988","11.9","14.3","45.2","16.7","11.9",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","23","2.957","13.0","21.7","43.5","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","21","3.048","14.3",".","66.7","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","41","3.134","14.6","17.1","53.7","9.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","46","3.120","13.0","13.0","58.7","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","22","3.211","18.2","22.7","31.8","4.5","9.1",".",".",".",".",".",".",".","4.5","4.5","4.5","."
"Mass Media & Human Behavior","457","001","106","2.910","7.5","14.2","46.2","20.8","10.4",".","0.9",".",".",".",".",".",".",".",".","."
"Global Media Cultures","458","001","46","3.043","19.6","17.4","34.8","13.0","13.0","2.2",".",".",".",".",".",".",".",".",".","."
"Communicatn Technol&Society","459","001","42","2.786","4.8","19.0","31.0","23.8","19.0","2.4",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","12","2.625",".","16.7","33.3","41.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Modern Rhetorical Theory","571","001","17","3.647","58.8","11.8","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Communication","572","001","29","3.862","86.2","3.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","18","3.528","50.0","27.8","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","613","001","41","3.175","22.0","17.1","36.6","17.1","4.9",".",".",".",".",".",".",".","2.4",".",".","."
"","613","003","15","3.679","53.3","20.0","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","613","004","40","3.526","57.5","22.5","7.5",".","5.0","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","96","3.398","41.7","19.8","21.9","7.3","4.2","1.0","1.0","1.0",".",".",".",".","2.1",".",".","."
"","614","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
