"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
002","146","3.014","20.5","15.1","33.6","13.7","14.4","2.7",".",".",".",".",".",".",".",".",".","."
"","134
001","410","3.094","17.8","24.9","33.2","11.2","9.3","0.5","1.7","1.5",".",".",".",".",".",".",".","."
"","002
134","75","3.034","13.3","33.3","26.7","8.0","10.7","4.0","1.3","2.7",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","485","3.087","17.1","26.2","32.2","10.7","9.5","1.0","1.6","1.6",".",".",".",".",".",".",".","."
"","138
001","19","3.421","36.8","21.1","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","138
002","98","3.548","50.0","26.5","11.2","3.1","2.0","2.0","1.0","3.1",".",".",".",".",".","1.0",".","."
"The Sociology of Gender","Course Total","117","3.527","47.9","25.6","15.4","2.6","2.6","1.7","0.9","2.6",".",".",".",".",".","0.9",".","."
"Intro-Rural Sociol&Development","140
001","21","2.925","19.0","38.1","4.8","14.3","9.5",".","9.5","4.8",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","128","3.061","18.8","22.7","30.5","12.5","7.0","3.1","1.6","3.9",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","9","3.938","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","001
200","78","3.322","26.9","34.6","20.5","7.7","6.4","1.3",".","2.6",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","133","3.265","23.3","29.3","31.6","8.3","6.0","0.8",".",".",".",".",".",".",".","0.8",".","."
"Gender & Work-Rural America","215
001","21","2.523","19.0","4.8","4.8","28.6","33.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","57","3.455","38.6","35.1","12.3","3.5","3.5","3.5",".","3.5",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","10","2.500","20.0",".","30.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","001
248","11","3.409","18.2","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","22","3.182","22.7","27.3","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","17","2.719","5.9","17.6","35.3","11.8","11.8","11.8",".",".",".",".",".",".",".",".","5.9","."
"Africa: Introductory Survey","277
001","48","2.938","12.5","20.8","37.5","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"Biotechnology and Society","311
001","19","3.112","21.1","26.3","36.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","357
001","36","3.050","22.2","27.8","16.7","11.1","19.4","2.8",".",".",".",".",".",".",".",".",".","."
"","357
002","38","3.237","31.6","21.1","28.9","10.5","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","003
357","39","3.167","28.2","20.5","15.4","28.2","7.7",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","113","3.153","27.4","23.0","20.4","16.8","10.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"","360
001","35","3.200","31.4","17.1","31.4","5.7","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"","360
002","38","3.108","18.4","26.3","31.6","5.3","13.2","2.6",".","2.6",".",".",".",".",".",".",".","."
"","003
360","39","2.473","10.3","12.8","23.1","15.4","15.4","10.3","7.7","2.6",".",".",".",".",".",".","2.6","."
"Stats for Sociologists I","Course Total","112","2.922","19.6","18.8","28.6","8.9","13.4","5.4","2.7","1.8",".",".",".",".",".",".","0.9","."
"Stats for Sociologists II","361
001","20","3.425","35.0","30.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","17","3.559","52.9","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415
001","12","2.773",".","25.0","16.7","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Criminology","441
002","107","3.592","49.5","25.2","16.8","2.8","0.9",".","0.9","3.7",".",".",".",".",".",".",".","."
"","475
001","27","2.593","18.5","18.5","18.5","11.1","11.1","14.8","7.4",".",".",".",".",".",".",".",".","."
"","475
002","29","3.161","34.5","17.2","17.2","13.8","10.3",".","3.4",".",".",".",".",".",".","3.4",".","."
"","475
003","31","2.532","6.5","19.4","25.8","9.7","25.8","6.5","6.5",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 294 of 397",""
