"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","55","",".",".",".",".",".",".",".","50.9",".",".",".","49.1",".",".",".","."
"FOOD SCI
390","Dept. Total","1017","3.030","26.8","14.6","20.8","10.4","10.1","4.1","1.0","3.9",".","5.0","0.3","2.7","0.1",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","125","2.639","10.4","11.2","22.4","18.4","20.0","8.8","0.8",".",".","6.4","1.6",".",".",".",".","."
"Sophomore","","267","3.100","30.7","13.5","23.2","10.9","9.7","3.7","1.1",".",".","6.7",".",".","0.4",".",".","."
"Junior","","225","3.015","28.0","18.2","19.6","11.1","8.9","5.8","0.9","2.7",".","4.9",".",".",".",".",".","."
"Senior","","283","3.079","30.4","14.8","22.3","9.5","11.0","2.8","1.4","2.1",".","4.9","0.4",".",".",".",".","0.4"
"Undergraduates","","900","3.006","27.1","14.8","21.9","11.6","11.3","4.7","1.1","1.3",".","5.7","0.3",".","0.1",".",".","0.1"
"Special","","6","3.885","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","111","3.467","21.6","13.5","13.5","0.9","0.9",".",".","25.2",".",".",".","24.3",".",".",".","."
"","Dept. Total","1017","3.030","26.8","14.6","20.8","10.4","10.1","4.1","1.0","3.9",".","5.0","0.3","2.7","0.1",".",".","0.1"
