"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"","990
013","4","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
014","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","34","",".",".",".",".",".",".",".","97.1","2.9",".",".","",".","",".",".",".","."
"M M & I
620","Dept. Total","451","3.325","41.2","18.0","17.5","2.9","7.8","1.1","1.1","10.2","0.2",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","34","3.050","29.4","14.7","29.4","2.9","20.6",".","2.9",".",".",".",".","",".","",".",".",".","."
"Junior","","74","3.027","33.8","14.9","23.0","2.7","18.9","1.4","5.4",".",".",".",".","",".","",".",".",".","."
"Senior","","205","3.358","39.5","24.4","21.5","4.9","6.8","2.0",".","1.0",".",".",".","",".","",".",".",".","."
"Undergraduates","","313","3.248","37.1","21.1","22.7","4.2","11.2","1.6","1.6","0.6",".",".",".","",".","",".",".",".","."
"Special","","4","3.750","25.0","50.0",".",".",".",".",".","25.0",".",".",".","",".","",".",".",".","."
"Graduate","","130","3.743","50.8","9.2","6.2",".",".",".",".","33.1","0.8",".",".","",".","",".",".",".","."
"Prof Yr 3","","4","3.813","75.0","25.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","4","3.813","75.0","25.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","451","3.325","41.2","18.0","17.5","2.9","7.8","1.1","1.1","10.2","0.2",".",".","",".","",".",".",".","."
