"TERM : 1034","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2002-2003","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","479","3.852","73.3","19.2","3.5","0.4","0.2","",".","",".","2.9","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","5","3.300",".","80.0",".","20.0",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","24","3.761","62.5","20.8","12.5",".",".","",".","",".","4.2","",".",".","",".","",".",".",".",".","."
"Undergraduates","29","3.679","51.7","31.0","10.3","3.4",".","",".","",".","3.4","",".",".","",".","",".",".",".",".","."
"Special","30","3.833","80.0","13.3","3.3",".","3.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","420","3.866","74.3","18.8","3.1","0.2",".","",".","",".","3.1","",".",".","",".","",".","0.5",".",".","."
"Dept. Total","479","3.852","73.3","19.2","3.5","0.4","0.2","",".","",".","2.9","",".",".","",".","",".","0.4",".",".","."
