"LANDSCAPE ARCHITECTURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","108","2.549","6.5","9.3","19.4","23.1","31.5","5.6",".","2.8",".",".",".",".","0.9","0.9",".","."
"Landscape Invntry&Eval Meth","262","001","52","3.212","38.5","21.2","21.2","1.9","9.6","5.8","1.9",".",".",".",".",".",".",".",".","."
"Independent Studies","299","05","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","24","3.646","37.5","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","23","3.159","8.7","43.5","34.8","4.3",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"Graphics for Designers","","Course Total","47","3.413","23.4","48.9","21.3","2.1",".",".","2.1",".",".",".",".",".","2.1",".",".","."
"Housing and Urban Design","351","001","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","23","3.304","13.0","47.8","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","18","3.389","16.7","50.0","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","22","3.222","27.3","13.6","18.2","13.6","9.1",".",".",".",".",".",".",".","13.6",".",".","4.5"
"Principles-Landscape Ecology","565","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","26","2.720","23.1",".","23.1","23.1","15.4","11.5",".",".",".",".",".",".","3.8",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Crit Inquiry-Landscape Dsgn","720","001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Landscape Arch","740","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"","999","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
