"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","100
006","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","64","3.667","54.7","32.8","7.8","1.6",".",".","1.6",".",".",".",".",".",".",".",".","1.6"
"Sci&Technology Newswriting","111
001","","19","3.474","52.6","21.1","10.5",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","","19","3.316","36.8","21.1","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","13","3.500","38.5","46.2",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","001
212","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","212
002","","14","3.286","35.7","28.6","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","212
005","","13","3.115","15.4","38.5","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","44","3.488","50.0","22.7","18.2",".","2.3","2.3","2.3",".",".",".",".",".",".",".",".","2.3"
"Informational Photography","260
001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
20","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","3.863","81.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","360
001","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","19","3.733","78.9","5.3","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.713","69.6","17.4","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","399
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","20","3.700","65.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","14","3.808","71.4","14.3",".","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","515
001","","13","3.423","38.5","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
515","","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","30","3.583","40.0","43.3","13.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","530
001","","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
