"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4813","3.043","30.1","17.5","19.9","11.4","13.5","4.2","1.1","2.2","0.0",".","",".","",".","0.0","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","776","2.711","15.5","17.8","17.7","16.0","22.2","9.7","1.3",".",".",".","",".","",".",".",".",".","."
"Sophomore","","1222","2.925","21.5","18.6","22.5","14.1","16.9","5.0","1.2","0.2","0.1",".","",".","",".",".",".",".","."
"Junior","","1189","3.028","28.2","16.6","24.9","11.4","14.5","3.0","0.9","0.4","0.1",".","",".","",".","0.1",".",".","."
"Senior","","1327","3.290","42.1","18.8","17.9","8.7","7.2","2.0","1.1","1.8",".",".","",".","",".","0.1",".","0.2","0.2"
"Undergraduates","","4514","3.020","28.3","18.0","20.9","12.1","14.3","4.4","1.1","0.7","0.0",".","",".","",".","0.0",".","0.0","0.1"
"Special","","47","3.402","46.8","14.9","12.8","2.1","4.3","4.3",".","14.9",".",".","",".","",".",".",".",".","."
"Graduate","","248","3.852","60.9","8.1","2.4","0.4","0.4",".",".","27.4",".",".","",".","",".",".","0.4",".","."
"Prof Yr 1","","3","3.167",".","66.7",".","33.3",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","2.500",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","4","3.000",".","50.0",".","50.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4813","3.043","30.1","17.5","19.9","11.4","13.5","4.2","1.1","2.2","0.0",".","",".","",".","0.0","0.0","0.0","0.1"
