"Meths-Teachng Fam & Consumr Ed","","","","","","","","","","","","","","","","","","","","","","",""
"Capstone Seminar","450
001","24","3.479","66.7","4.2","8.3","16.7",".",".","4.2",".","",".","",".",".","",".","",".",".",".","."
"Hist of Motherhood in Amer","001
473","11","3.045","18.2","36.4","27.3","9.1",".",".","9.1",".","",".","",".",".","",".","",".",".",".","."
"Research Methods","793
001","10","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"INTER-HE
498","Dept. Total","147","3.437","49.0","18.4","18.4","6.8","2.0","1.4","2.7","",".","",".",".","",".","",".","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.290","29.0","25.8","32.3","6.5","3.2","3.2",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","12","3.250","25.0","16.7","50.0",".","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","6","2.875","33.3","16.7","33.3",".",".",".","16.7","",".","",".",".","",".","",".",".",".",".","."
"Senior","","86","3.475","53.5","18.6","10.5","9.3","1.2","1.2","3.5","",".","",".",".","",".","",".","2.3",".",".","."
"Undergraduates","","135","3.385","44.4","20.0","20.0","7.4","2.2","1.5","3.0","",".","",".",".","",".","",".","1.5",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","147","3.437","49.0","18.4","18.4","6.8","2.0","1.4","2.7","",".","",".",".","",".","",".","1.4",".",".","."
