"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","27","3.758","66.7","11.1","7.4","3.7",".",".",".","7.4",".",".",".",".",".",".","3.7","."
"Environmental Geology","106","001","55","2.900","14.5","20.0","29.1","21.8","7.3","5.5","1.8",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","165","3.658","61.8","26.1","4.8","3.6","0.6","2.4","0.6",".",".",".",".",".",".",".",".","."
"","120","001","32","2.609","6.3","18.8","31.3","9.4","21.9","9.4","3.1",".",".",".",".",".",".",".",".","."
"","120","002","40","2.763","17.5","20.0","15.0","12.5","27.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","72","2.694","12.5","19.4","22.2","11.1","25.0","6.9","2.8",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","38","3.461","57.9","23.7","10.5",".",".",".","7.9",".",".",".",".",".",".",".",".","."
"","127","001","11","3.091","36.4","18.2","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","127","002","17","2.765","5.9","29.4","5.9","29.4","29.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","28","2.893","17.9","25.0","7.1","25.0","21.4","3.6",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","30","3.190","33.3","20.0","16.7","10.0","13.3","3.3",".",".",".",".",".",".",".",".","3.3","."
"Insects and Human Culture","201","001","11","3.500","45.5","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","7","2.833","28.6",".",".","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","7","1.600",".",".","14.3",".","28.6","14.3","14.3","28.6",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","13","3.813","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","308","001","51","3.500","31.4","37.3","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","42","2.951","19.0","14.3","33.3","9.5","16.7","4.8",".",".",".",".",".",".",".","2.4",".","."
"","339","002","49","2.681","12.2","16.3","22.4","8.2","28.6","6.1","2.0",".","2.0",".",".",".",".","2.0",".","."
"Environmental Conservation","","Course Total","91","2.807","15.4","15.4","27.5","8.8","23.1","5.5","1.1",".","1.1",".",".",".",".","2.2",".","."
"Environment&Global Economy","344","001","31","2.839","22.6","9.7","16.1","16.1","35.5",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","42","3.071","11.9","35.7","31.0","7.1","11.9",".","2.4",".",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","121","2.924","10.7","24.8","27.3","18.2","12.4","3.3","0.8","2.5",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","11","3.600","36.4","36.4","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","400","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","18","3.471","27.8","44.4","16.7",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","400","003","24","3.664","70.8","12.5","12.5",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","50","3.617","56.0","26.0","12.0",".","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","32","3.297","50.0","18.8","15.6","3.1","3.1","3.1","6.3",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","17","3.088","17.6","41.2","29.4",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","511","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Science and Government","512","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513","001","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
