"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","",""
"1st-Yr Smr: Humanities&Soc Sci","110
001","12","3.864","75.0","8.3","8.3",".",".",".",".","",".","",".","",".",".","",".","","8.3",".",".","."
"Alcohol: Behav, Culture & Sci","111
001","52","3.250","21.2","36.5","30.8","1.9","5.8","3.8",".","",".","",".","",".",".","",".","",".",".",".","."
"Ways of Knowing Biology","151
001","60","",".",".",".",".",".",".",".","",".","",".","","98.3",".","",".","",".",".","1.7","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","28","3.018","21.4","25.0","17.9","14.3","17.9","3.6",".","",".","",".","",".",".","",".","",".",".",".","."
"Undergrad Research Experience","250
001","110","3.812","76.4","13.6","7.3","1.8","0.9",".",".","",".","",".","",".",".","",".","",".",".",".","."
"European Studies Seminar","594
001","7","3.714","42.9","57.1",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"INTER-LS
502","Dept. Total","269","3.544","42.0","17.1","11.2","2.6","3.3","1.1","",".","",".","",".","21.9","",".","",".","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","114","3.352","29.8","21.9","17.5","2.6","4.4","2.6","",".","",".","",".","20.2","",".","",".","0.9",".",".","."
"Sophomore","","106","3.719","47.2","10.4","5.7","2.8","1.9",".","",".","",".","",".","32.1","",".","",".",".",".",".","."
"Junior","","23","3.798","73.9","8.7","4.3",".","4.3",".","",".","",".","",".","8.7","",".","",".",".",".",".","."
"Senior","","24","3.537","45.8","33.3","12.5","4.2","4.2",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","267","3.542","41.9","17.2","11.2","2.6","3.4","1.1","",".","",".","",".","22.1","",".","",".","0.4",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"Graduate","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","269","3.544","42.0","17.1","11.2","2.6","3.3","1.1","",".","",".","",".","21.9","",".","",".","0.4",".","0.4","."
