"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"458
Hist SE Asia Since 1800","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"509
2nd Year Literary Persian","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"524
Indian Writers Abroad","001","","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Tibetan Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Fiction&Ethnography in Turkey","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"620","001","","7","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"620","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"620","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies-S Asian Religions","Course Total","","16","3.346","31.3","31.3","12.5",".",".",".","6.3","6.3",".",".",".",".","12.5",".",".","."
"682
Senior Honors Thesis","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Ottoman Turkish","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"851
Civs of India-Classical Per","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","",".",".",".",".",".",".",".","90.0","3.3",".",".",".",".",".","6.7","."
"999
Individual Research","044","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
