"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"415
Survey Music-Romantic Era","001","","25","3.583","48.0","24.0","20.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"42
Varsity Band","001","","211","3.998","99.5","0.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"461
Collegium Musicum","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"497","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","005","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","13","3.743","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"509
Smr:Afro-Am Music Hist&Crit","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Jazz Improvisation","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"54","001","","65","3.892","89.2",".","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"54","002","","41","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"54","003","","45","3.867","95.6",".",".",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"54","004","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"54","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"54","006","","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Choirs","Course Total","","216","3.928","93.5","1.4","3.7",".","0.5",".","0.5",".",".",".",".",".","0.5",".",".","."
"540
Adv Instrumental Pedagogy","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Advanced String Pedagogy","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Practcm-Adv String Pedagogy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"546
String Literature","001","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"548
Piano Pedagogy II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"553
Advanced Conducting","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"556
University Opera","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"557
Opera Workshop","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Advanced Ensemble-Piano","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"562
Jazz Ensemble","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Advanced Ensemble-Woodwind","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"567","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"567","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 258 of 397",""
