"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","123","2.984","23.6","28.5","16.3","10.6","12.2","4.9","4.1",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","23","3.326","39.1","26.1","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","43","2.940","23.3","16.3","23.3","9.3","18.6","7.0",".","2.3",".",".",".",".",".",".",".","."
"432
Tax & Bionomcs-Immature Ins","001","","10","3.500","60.0","20.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Insect Behavior","001","","13","2.917","23.1","30.8",".","15.4","7.7","15.4",".","7.7",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","3.182","33.3",".","41.7",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.975","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"799
Pract-Entomology Teaching","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Smr: Evolutionary Entomol","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","23","",".",".",".",".",".",".",".","95.7",".",".",".","4.3",".",".",".","."
