"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","148","2.747","2.7","19.6","32.4","21.6","20.3","3.4",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","106","3.033","19.8","14.2","35.8","15.1","14.2","0.9",".",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Pharmacology II","001","","127","2.768","13.4","10.2","30.7","15.7","26.0","3.9",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","126","2.897","19.0","19.0","18.3","15.9","24.6","3.2",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","129","3.519","52.7","14.7","20.9","8.5","2.3","0.8",".",".",".",".",".",".",".",".",".","."
"624
Pharmacology IV","001","","138","2.783","8.7","15.2","30.4","18.1","26.1","1.4",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","79","2.848","10.1","12.7","40.5","12.7","22.8","1.3",".",".",".",".",".",".",".",".",".","."
"677
Chem & Engr Biosynthesis","001","","11","3.560","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicol Sr Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Solids & Powder Technology","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Conference-Research Workers","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"Research","Course Total","","43","",".",".",".",".",".",".",".","74.4","2.3",".",".","23.3",".",".",".","."
