"Public Utilities","325
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Energy Economics","671
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Public Utilities","725
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"TRAN P U
243","Dept. Total","","9","3.750","66.7","",".","22.2",".","",".","",".","",".","11.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","5","3.750","60.0","",".","20.0",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","5","3.750","60.0","",".","20.0",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","3","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","3.000",".","",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","3.000",".","",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","9","3.750","66.7","",".","22.2",".","",".","",".","",".","11.1","",".",".","",".","",".","",".",".",".","."
