"NAVAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Seapower-Maritime Affairs","102
001","17","3.471","41.2","23.5","23.5","11.8",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Intro Naval Lab II","176
001","15","3.800","80.0","13.3",".",".","6.7",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Naval Engineering","202
001","15","3.167","20.0","20.0","33.3","26.7",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","276
001","19","3.789","68.4","21.1","10.5",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","276
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Elementary Naval Lab II","Course Total","20","3.800","70.0","20.0","10.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Navigation & Operations II","302
001","13","2.846","15.4","30.8","7.7","30.8",".","15.4",".","",".",".","",".",".","",".","",".","",".",".","."
"","376
001","17","3.853","76.5","17.6","5.9",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","376
002","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intermed Naval Lab II","Course Total","19","3.842","73.7","21.1","5.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Naval Leadership and Ethics","402
001","16","3.300","25.0","25.0","25.0","18.8",".",".",".","","6.3",".","",".",".","",".","",".","",".",".","."
"","476
001","8","3.875","75.0","25.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","476
002","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Naval Laboratory II","Course Total","12","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professional Naval Lab II","576
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NAV SCI
672","Dept. Total","129","3.411","50.4","23.3","13.2","10.1","0.8","1.6","",".","0.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.438","55.0","15.0","15.0","10.0","5.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","32","3.581","56.3","21.9","18.8","3.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.310","54.5","18.2","12.1","12.1",".","3.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","49","3.331","46.9","28.6","10.2","12.2",".","2.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","134","3.411","52.2","22.4","13.4","9.7","0.7","1.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","135","3.411","51.9","22.2","13.3","9.6","0.7","1.5","",".","0.7","",".",".","",".","",".","",".",".",".","."
