"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"","677
005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
677","49","3.977","95.9",".","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","677
007","24","3.917","95.8",".",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","677
008","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
009","28","3.768","78.6","7.1","3.6",".","7.1",".",".","3.6",".",".",".",".",".",".",".","."
"","677
010","40","3.796","80.0","10.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"","677
011","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
015","10","3.897","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
017","22","4.000","86.4",".",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","272","3.929","91.9","2.6","2.2",".","1.1","0.4",".","1.8",".",".",".",".",".",".",".","."
"Independent Reading","699
071","11","3.885","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics of Development","707
001","42","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","714
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Genetics","721
001","155","3.497","29.7","49.7","13.5","4.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Counseling","770
001","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","5","***","","","","","","","","","","","","","","","",""
"Seminar in Genetics","993
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","520","3.771","64.0","24.2","6.9","1.3","1.3","0.2",".","1.9",".",".",".",".",".",".",".","."
