"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL:Prof&Acad Writng Skills","327","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329","001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Global Spread of English","332","001","","21","3.714","66.7","9.5","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","24","3.583","41.7","37.5","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","29","3.638","48.3","37.9","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","003","","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".","."
"TESOL Workshops","","Course Total","","17","",".",".",".",".",".",".",".",".",".","88.2",".",".",".","11.8",".","."
"Chaucer's Canterbury Tales","367","001","","34","3.206","44.1","8.8","20.6","14.7","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Eng Drama Pre Shakespeare","411","001","","33","3.576","72.7","3.0","9.1","9.1","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","33","3.266","30.3","21.2","24.2","12.1","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"Shakespeare","418","001","","31","2.483","19.4","6.5","16.1","16.1","19.4","12.9","6.5","3.2",".",".",".",".",".",".",".","."
"17th C Literature-1600-1660","420","001","","29","3.207","20.7","31.0","20.7","24.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","40","2.895","27.5","20.0","2.5","20.0","15.0","7.5","2.5","2.5",".",".",".",".","2.5",".",".","."
"English Lit, 1745-1798","445","001","","40","3.263","20.0","20.0","52.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","34","3.485","32.4","32.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Romantic Poetry","463","001","","25","3.188","28.0","16.0","36.0","12.0",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","24","3.292","29.2","33.3","25.0",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","24","3.458","45.8","20.8","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","29","3.500","41.4","24.1","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","503","001","","26","3.462","46.2","30.8","7.7","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Recent Fiction in English","511","008","","35","3.771","62.9","28.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","26","3.180","19.2","30.8","19.2","19.2","7.7",".",".",".",".",".",".",".","3.8",".",".","."
"","591","001","","36","3.111","22.2","19.4","27.8","19.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","591","002","","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","71","3.521","54.9","15.5","14.1","9.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","","22","3.386","9.1","63.6","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","28","3.173","14.3","25.0","42.9",".","10.7",".",".","3.6",".",".",".",".",".","3.6",".","."
"Lit of the Amer Renaissance","618","001","","34","3.338","23.5","23.5","50.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626","001","","28","3.352","28.6","28.6","32.1","3.6",".","3.6",".","3.6",".",".",".",".",".",".",".","."
"American Literary Realism","629","001","","28","3.089","39.3","17.9","10.7","21.4",".","3.6","7.1",".",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","","33","3.212","9.1","42.4","36.4","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
