"","990
069","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
085","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"PhD Thesis-Accounting","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"ACCT I S
232","Dept. Total","1949","3.235","30.7","18.2","34.0","5.4","7.2","2.3","1.0","1.0","0.1",".",".","",".","",".","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","2.707","21.7","4.3","39.1","2.2","19.6","6.5","6.5",".",".",".",".","",".","",".",".",".","."
"Sophomore","","400","2.959","24.3","8.3","41.3","4.5","14.8","4.8","2.0",".",".",".",".","",".","",".","0.3",".","."
"Junior","","579","3.145","23.5","15.7","43.2","6.6","7.9","1.6","0.9","0.3","0.2",".",".","",".","",".","0.2",".","."
"Senior","","535","3.298","26.7","24.1","32.5","7.5","4.7","2.2","0.6","1.7",".",".",".","",".","",".",".",".","."
"Undergraduates","","1560","3.142","24.7","16.3","38.9","6.2","8.9","2.8","1.2","0.7","0.1",".",".","",".","",".","0.1",".","."
"Special","","19","3.278","31.6","15.8","36.8","5.3",".","5.3",".","5.3",".",".",".","",".","",".",".",".","."
"Graduate","","366","3.681","55.7","25.7","13.1","2.2","0.5",".",".","2.2",".",".",".","",".","",".","0.3","0.3","."
"Prof Yr 3","","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","1949","3.235","30.7","18.2","34.0","5.4","7.2","2.3","1.0","1.0","0.1",".",".","",".","",".","0.2","0.1","."
