"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"325
Comptrs-Elem&Secndry Art Ed","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"423
Stdt Tchg-Elem School Art","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Stdt Tchg-Secondary Sch Art","001","","18","3.941","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Art-Exceptional Education","001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"951","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"ART ED
176","Dept. Total","","86","3.930","87.2","7.0","4.7",".",".",".",".",".",".",".",".",".","1.2",".",".","."
