"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"202
Intro to Mod & Contemp Lit","001","","193","3.497","38.3","42.0","8.8","2.6","6.2","0.5","0.5",".",".",".",".",".","0.5","0.5",".","."
"203
Intro Cross-Cultrl Lit Form","001","","200","3.574","35.5","46.5","13.0","1.0","2.0",".",".","1.0",".",".",".",".","0.5","0.5",".","."
"236
Bascom Course","001","","17","3.219","17.6","35.3","29.4","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"287
Masterpcs of Lit-Honors I","001","","24","3.792","70.8","25.0",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"288
Masterpcs of Lit-Honors II","001","","19","3.740","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"354
Novel and Short Story","001","","24","3.630","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"372
Literary Movements & Trends","001","","21","3.183","14.3","28.6","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"473
Thematics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"475
Poetics and Literary Theory","001","","22","3.656","72.7","9.1","4.5",".",".",".","4.5","4.5",".",".",".",".","4.5",".",".","."
"682
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690
Proseminar","001","","8","3.500","62.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"691","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"771
Literary Criticism","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Lit & Related Disciplines","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"974
Seminar-Genre and Mode","001","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","4","***","","","","","","","","","","","","","","","",""
