"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"231
Survey-Nuclear Engineering","001","","47","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","11","2.455",".","9.1","54.5","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","10","2.900","20.0","20.0","30.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"489
Honors in Research","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"536
Power-Thermonuclear Fusion","001","","13","2.808","23.1","15.4","23.1","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"548
Engineering Analysis II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Cryogenics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"569
Health Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","12","3.417","33.3","33.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"602","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602","002","","34","3.618","55.9","29.4","5.9",".","8.8",".",".",".",".",".",".",".",".",".",".","."
"602","003","","9","3.167","33.3","11.1","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Reactor Engr","Course Total","","56","3.611","62.5","19.6","8.9",".","8.9",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.659","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","21","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 137 of 397",""
