"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","137","2.891","16.1","23.4","24.8","20.4","6.6","4.4","4.4",".",".",".",".",".",".",".",".","."
"","002
101","76","2.568","3.9","15.8","25.0","18.4","26.3","5.3","2.6","1.3",".",".",".",".",".","1.3",".","."
"","003
101","91","2.978","18.7","20.9","27.5","16.5","8.8","2.2","3.3","1.1",".",".",".",".",".",".","1.1","."
"","101
004","87","2.924","16.1","18.4","20.7","26.4","13.8","1.1","1.1",".",".",".",".",".",".","2.3",".","."
"","005
101","84","2.994","10.7","26.2","25.0","27.4","8.3","1.2",".","1.2",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","475","2.880","13.7","21.3","24.6","21.7","11.8","2.9","2.5","0.6",".",".",".",".",".","0.6","0.2","."
"Spec Topics:Philos-Freshmen","104
001","14","3.571","57.1","28.6","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","210
001","151","3.060","17.2","23.8","24.5","22.5","9.9",".","0.7","0.7",".",".",".",".",".","0.7",".","."
"","210
002","90","2.747","21.1","17.8","26.7","1.1","15.6","11.1","5.6","1.1",".",".",".",".",".",".",".","."
"","003
210","95","3.247","23.2","26.3","34.7","7.4","4.2","2.1",".","2.1",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","336","3.029","19.9","22.9","28.0","12.5","9.8","3.6","1.8","1.2",".",".",".",".",".","0.3",".","."
"","001
211","79","3.253","40.5","27.8","12.7","7.6","3.8","1.3","6.3",".",".",".",".",".",".",".",".","."
"","002
211","47","3.011","36.2","14.9","14.9","8.5","6.4","12.8","2.1","4.3",".",".",".",".",".",".",".","."
"","003
211","81","3.104","27.2","25.9","21.0","6.2","8.6",".","6.2","3.7","1.2",".",".",".",".",".",".","."
"Elementary Logic","Course Total","207","3.142","34.3","24.2","16.4","7.2","6.3","3.4","5.3","2.4","0.5",".",".",".",".",".",".","."
"","241
001","91","3.560","37.4","39.6","20.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
241","78","3.299","37.2","21.8","20.5","9.0","7.7","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","169","3.440","37.3","31.4","20.7","5.3","3.6","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"","341
001","92","3.250","18.5","34.8","32.6","7.6","2.2","1.1","1.1","1.1",".",".",".",".",".","1.1",".","."
"","002
341","85","2.976","9.4","22.4","40.0","20.0","3.5","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"","341
091","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","18","3.556","50.0","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","247","3.291","26.7","29.1","28.3","10.5","2.0","0.8","1.2","0.8",".",".",".",".",".","0.4",".","."
"Hist of Ancient Philosophy","430
001","58","3.526","34.5","37.9","25.9","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","67","2.823","19.4","16.4","17.9","23.9","7.5","10.4","1.5","1.5",".",".",".",".",".","1.5",".","."
"Environmental Ethics","441
001","43","3.256","44.2","16.3","14.0","11.6","9.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","22","3.024","18.2","31.8","31.8",".","4.5",".","9.1","4.5",".",".",".",".",".",".",".","."
"Methods of Logic","512
001","30","3.633","56.7","23.3","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","24","3.125","37.5","8.3","25.0","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","20","3.425","50.0","25.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","14","3.308","14.3","42.9","21.4","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"Philos Concepts-Tch&Learng","545
001","20","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetics","553
001","29","3.086","27.6","31.0","17.2","13.8",".","3.4","6.9",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","28","3.462","28.6","32.1","28.6","3.6",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Ethical Probs-Biomed Tech","558
001","29","3.167","27.6","20.7","24.1","10.3","6.9",".","3.4","3.4",".",".",".",".",".","3.4",".","."
"Mathematical Logic","571
001","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","599
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
044","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 267 of 397",""
