"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","164","2.877","17.7","15.9","28.0","8.5","26.2",".","2.4","0.6",".",".",".",".",".","0.6",".","."
"","100","002","168","2.693","12.5","19.0","17.9","13.7","31.0","3.0","3.0",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","332","2.783","15.1","17.5","22.9","11.1","28.6","1.5","2.7","0.3",".",".",".",".",".","0.3",".","."
"Archaeology & Prehist World","102","001","122","2.632","10.7","18.0","13.9","18.9","32.0","2.5","3.3","0.8",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","567","3.257","24.0","25.0","32.3","7.9","5.6","0.4","0.5","3.9","0.2",".",".",".","0.2",".",".","."
"Evolution of Human Species","107","001","176","2.869","15.3","14.2","29.5","16.5","21.0","2.3","0.6","0.6",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","81","2.800","23.5","9.9","18.5","24.7","12.3","6.2","3.7","1.2",".",".",".",".",".",".",".","."
"Global Language Issues","211","001","17","3.600","52.9","11.8","17.6",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","17","3.206","23.5","23.5","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","2.962","15.4","23.1","34.6","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","57","3.500","31.6","40.4","17.5","1.8","3.5",".",".","1.8",".",".",".",".",".",".","3.5","."
"Intro Ling-Descript&Theoret","301","001","7","3.286","28.6","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","61","2.856","19.7","13.1","23.0","8.2","29.5","3.3",".","1.6",".",".",".",".","1.6",".",".","."
"Peoples&Cultures-the Arctic","317","001","16","3.368","18.8","50.0","12.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","79","3.160","25.3","22.8","19.0","15.2","11.4","1.3",".","2.5",".",".",".",".",".","1.3","1.3","."
"Peoples of the Andes Today","327","001","36","3.662","58.3","13.9","19.4",".","2.8",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","25","3.852","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","23","3.283","52.2","4.3","26.1",".","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","38","2.066",".","7.9","15.8","26.3","21.1","23.7","5.3",".",".",".",".",".",".",".",".","."
"Anthropology of Law","448","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","19","3.611","47.4","31.6","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","39","3.724","59.0","28.2","7.7",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Phys Anthro of the Living","604","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","14","3.807","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","19","3.839","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","003","10","3.803","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","43","3.820","72.1","20.9","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","069","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Probs-Cultural Anthro","940","002","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","942","001","15","3.467","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","942","002","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Archaeological Problems","","Course Total","32","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Anthropology&Education","970","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 159 of 397",""
