"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211","001","","37","2.324","10.8","2.7","21.6","24.3","16.2","21.6","2.7",".",".",".",".",".",".",".",".","."
"211","002","","36","2.639","13.9","19.4","13.9","19.4","19.4","11.1","2.8",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","73","2.479","12.3","11.0","17.8","21.9","17.8","16.4","2.7",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","002","","35","2.743","17.1","17.1","17.1","17.1","20.0","11.4",".",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","33","2.697","24.2","15.2","18.2","15.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","55","2.918","30.9","14.5","16.4","9.1","20.0","5.5","3.6",".",".",".",".",".",".",".",".","."
"324","002","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"324","003","","10","3.100","10.0","20.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","12","3.000","25.0","16.7","8.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"324","005","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","42","3.167","21.4","21.4","31.0","21.4","4.8",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","45","2.922","22.2","11.1","28.9","13.3","20.0","4.4",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","39","3.038","23.1","12.8","35.9","10.3","15.4","2.6",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","49","3.082","20.4","24.5","24.5","12.2","18.4",".",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","32","3.094","21.9","28.1","15.6","15.6","18.8",".",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","002","","50","3.120","8.0","18.0","64.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"535
Heterogeneous Catalysis","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","42","2.726","19.0","14.3","7.1","31.0","21.4","4.8","2.4",".",".",".",".",".",".",".",".","."
"562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","002","","15","3.409","66.7",".","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"562","004","","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","32","3.489","53.1","18.8","18.8","3.1","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"565
Food Process Engineering","001","","32","3.234","25.0","28.1","31.3",".","15.6",".",".",".",".",".",".",".",".",".",".","."
"599","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","38","3.949","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
