"","990
052","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
058","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","14","3.992","92.9","7.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","","90","3.674","47.8","42.2","5.6","1.1","1.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.2"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","3.667","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","","13","3.992","92.3","7.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","67","3.609","37.3","52.2","7.5","1.5","1.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","73","3.631","41.1","49.3","6.8","1.4","1.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","90","3.674","47.8","42.2","5.6","1.1","1.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.2"
