"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","77","3.540","46.8","27.3","20.8",".",".",".","2.6","1.3",".",".",".",".","1.3",".",".","."
"19&20 C Russian Lit Tran II","204
001","56","3.573","53.6","26.8","10.7",".","3.6","3.6",".",".",".",".",".",".",".","1.8",".","."
"Chekhov in Translation","220
001","20","3.948","85.0","10.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222
001","23","3.619","43.5","26.1","21.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","35","3.310","37.1","25.7","14.3","8.6","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241
001","14","3.393","35.7","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Culture&Lit(in Tran)","242
001","31","3.317","45.2","9.7","25.8","6.5","6.5",".","3.2","3.2",".",".",".",".",".",".",".","."
"Lit Tran:20c Fr Mastrpieces","250
001","29","3.571","51.7","31.0","6.9","3.4",".",".","3.4","3.4",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","42","3.085","31.0","16.7","28.6","9.5","4.8",".","7.1",".",".",".",".",".",".",".","2.4","."
"Urdu Prose Fic-Ind&Pak/Tran","001
273","26","3.000","26.9","7.7","38.5","7.7","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","243","3.258","8.6","47.7","33.3","3.3","5.8","0.4",".",".",".",".",".",".","0.4","0.4",".","."
"","275
001","92","3.058","8.7","33.7","27.2","19.6","7.6","2.2",".",".",".",".",".",".","1.1",".",".","."
"","275
002","300","3.105","7.0","35.7","33.3","13.7","8.7",".",".","1.3",".",".",".",".",".","0.3",".","."
"In Transl:Hans C. Andersen","Course Total","392","3.094","7.4","35.2","31.9","15.1","8.4","0.5",".","1.0",".",".",".",".","0.3","0.3",".","."
"Topics-20c German Lit(in Tran)","277
001","25","3.021","32.0","12.0","20.0","8.0","16.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"Yiddish Lit/Trans-US,1900-1950","279
001","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sanskrit Lit in Translation","325
001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","13","3.385","30.8","46.2","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337
001","31","3.130","29.0","16.1","16.1","22.6","12.9",".",".","3.2",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","13","2.556","15.4","15.4","15.4","15.4","7.7","7.7","7.7","7.7",".",".",".",".",".","7.7",".","."
"SE Asian Lit in Translation","358
001","29","3.724","62.1","20.7","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Lit(Tran) Mid Ages-1863","471
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","1135","3.269","23.8","32.6","25.7","8.1","6.3","1.0","0.7","1.1",".",".",".",".","0.3","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","208","3.255","15.4","39.4","31.7","5.8","4.3","1.0","0.5",".",".",".",".",".","1.0","1.0",".","."
"Sophomore","","420","3.220","20.2","32.9","29.0","9.0","6.9","0.7","1.0",".",".",".",".",".","0.2",".",".","."
"Junior","","242","3.340","28.9","31.4","25.2","7.9","4.1","1.2","0.4","0.8",".",".",".",".",".",".",".","."
"Senior","","259","3.290","31.3","28.6","16.2","8.9","8.9","1.2","0.8","3.5",".",".",".",".",".","0.8",".","."
"Undergraduates","","1129","3.268","23.7","32.8","25.8","8.1","6.3","1.0","0.7","1.0",".",".",".",".","0.3","0.4",".","."
"Special","","4","3.000",".",".","25.0",".",".",".",".","50.0",".",".",".",".",".",".","25.0","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1135","3.269","23.8","32.6","25.7","8.1","6.3","1.0","0.7","1.1",".",".",".",".","0.3","0.4","0.1","."
