"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Engineerng Economc Analysis","313
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","","31","3.210","25.8","16.1","45.2","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","340
001","","40","3.175","2.5","37.5","52.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
340","","38","3.053","5.3","15.8","65.8","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","78","3.115","3.8","26.9","59.0","9.0","1.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
136","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
202","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","406
001","","29","3.138","13.8","34.5","34.5","6.9","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","62","3.742","53.2","41.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","61","3.484","34.4","27.9","37.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","603
001","","47","3.681","53.2","29.8","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","27","3.222","18.5","33.3","25.9","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"","002
620","","35","3.200","22.9","22.9","34.3","11.4","8.6",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","62","3.210","21.0","27.4","30.6","14.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","25","2.940","28.0","12.0","20.0","24.0","4.0","12.0",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","16","3.357","31.3","25.0","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".",".","6.3","."
"","701
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","7","3.286","28.6",".","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","706
001","","24","3.479","37.5","25.0","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","44","3.807","81.8","4.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","39","3.718","64.1","20.5","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","","83","3.765","73.5","12.0","9.6","3.6","1.2",".",".",".",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","41","3.780","58.5","39.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","37","3.757","56.8","37.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Informatn Consulting","Course Total","","78","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","771
001","","28","3.741","57.1","28.6","10.7",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"Smr-Current Taxation Topics","772
001","","19","3.553","42.1","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
135","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 51 of 397"
