"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"","552","001","","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552","002","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","23","3.478","30.4","34.8","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","","11","3.300","36.4","18.2","9.1","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","","71","3.399","35.2","28.2","26.8",".","8.5",".",".","1.4",".",".",".",".",".",".",".","."
"","577","001","","78","3.571","55.1","16.7","21.8","2.6","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"","577","002","","70","3.607","52.9","21.4","21.4","2.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","","148","3.588","54.1","18.9","21.6","2.7","2.0","0.7",".",".",".",".",".",".",".",".",".","."
"Intro to Information Security","642","001","","36","3.443","50.0","13.9","22.2","5.6",".","5.6",".",".",".",".",".",".","2.8",".",".","."
"","682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","16","3.917","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Princ of Programming Langs","704","001","","16","3.250","37.5","25.0","25.0",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Integer Programming","720","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progm Algorithms","730","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","12","3.864","83.3",".",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Computer System Performance","737","001","","17","3.559","58.8","17.6","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems","739","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","11","3.400","27.3","27.3","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","30","3.667","43.3","46.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764","001","","22","3.595","36.4","40.9","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Advanced Bioinformatics","776","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Animation","777","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rendering Images w/Computers","779","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Models and Languages","784","001","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","799","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 189 of 397",""
