"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Directed Study in Math","298
015","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","6","2.600","16.7","16.7",".","16.7","16.7","16.7",".",".",".",".",".",".","16.7",".",".","."
"","319
001","37","2.473","18.9","5.4","18.9","8.1","32.4","10.8","5.4",".",".",".",".",".",".",".",".","."
"","319
002","37","3.108","29.7","18.9","27.0","8.1","8.1","8.1",".",".",".",".",".",".",".",".",".","."
"","003
319","38","2.776","13.2","7.9","39.5","15.8","15.8","7.9",".",".",".",".",".",".",".",".",".","."
"","004
319","41","2.549","12.2","17.1","17.1","4.9","39.0","4.9","4.9",".",".",".",".",".",".",".",".","."
"","319
005","34","2.779","26.5","11.8","17.6","20.6","8.8","8.8","5.9",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","187","2.733","19.8","12.3","24.1","11.2","21.4","8.0","3.2",".",".",".",".",".",".",".",".","."
"","001
320","31","2.774","12.9","6.5","45.2","6.5","22.6","6.5",".",".",".",".",".",".",".",".",".","."
"","320
002","43","2.826","18.6","9.3","32.6","16.3","16.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"","003
320","44","2.477","18.2","6.8","18.2","6.8","34.1","11.4","4.5",".",".",".",".",".",".",".",".","."
"","320
004","27","3.241","37.0","25.9","18.5","7.4","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"","006
320","43","3.070","11.6","30.2","32.6","16.3","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"","320
007","42","3.167","21.4","19.0","35.7","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","230","2.909","19.1","16.1","30.4","12.6","15.2","4.8","1.7",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","321
001","39","2.795","20.5","12.8","28.2","17.9","7.7","7.7","5.1",".",".",".",".",".",".",".",".","."
"Intro:Prob&Markov Chain Mod","331
001","9","2.500",".","33.3","11.1","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"","340
001","30","1.845","6.7","6.7","16.7","10.0","16.7","20.0","20.0",".",".",".",".",".",".","3.3",".","."
"","340
002","26","2.840","23.1","3.8","30.8","3.8","30.8","3.8",".",".",".",".",".",".",".",".","3.8","."
"","003
340","39","2.846","28.2","17.9","20.5","7.7","10.3","7.7","7.7",".",".",".",".",".",".",".",".","."
"","004
340","31","2.419","12.9","16.1","16.1","16.1","12.9","19.4","6.5",".",".",".",".",".",".",".",".","."
"","005
340","32","3.016","31.3","9.4","31.3","6.3","15.6","3.1","3.1",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","158","2.609","20.9","11.4","22.8","8.9","16.5","10.8","7.6",".",".",".",".",".",".","0.6","0.6","."
"Linear Algebra","341
001","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Math","371
001","13","3.077","23.1","38.5","7.7","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","001
375","9","3.250","22.2","11.1","44.4","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","22","3.523","63.6",".","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Differential Equatns","419
001","10","3.000","20.0","10.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421
001","16","2.733","18.8","12.5","18.8",".","37.5","6.3",".","6.3",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
001","28","3.429","50.0","21.4","3.6","14.3","10.7",".",".",".",".",".",".",".",".",".",".","."
"","002
431","24","3.083","20.8","12.5","50.0","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","52","3.269","36.5","17.3","25.0","9.6","9.6","1.9",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","8","2.875","12.5","12.5","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441
001","21","3.190","28.6","4.8","52.4","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","17","2.969","17.6","29.4","17.6","11.8","11.8",".","5.9","5.9",".",".",".",".",".",".",".","."
"Intro-Combinatorics","001
475","23","2.630","17.4","17.4","17.4","13.0","21.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"","521
001","24","3.125","37.5","12.5","20.8","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","002
521","22","2.432","40.9","9.1","4.5","4.5","4.5","13.6","22.7",".",".",".",".",".",".",".",".","."
"","521
003","17","2.971","23.5","11.8","29.4","5.9","29.4",".",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","Course Total","63","2.841","34.9","11.1","17.5","7.9","12.7","7.9","7.9",".",".",".",".",".",".",".",".","."
"Advanced Calculus","522
001","21","3.250","38.1",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".","4.8","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 249 of 397",""
