"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Asia-Age of Imperlsm,Nationlsm","140
001","","33","2.984","15.2","24.2","18.2","27.3","6.1",".","3.0",".",".","",".",".","",".","",".","",".","3.0","3.0"
"Global Language Issues","211
001","","13","3.375","38.5","23.1","23.1",".",".","7.7",".","7.7",".","",".",".","",".","",".","",".",".","."
"Topics in Global Security","601
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Business in Emerging Markets","615
001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","","67","3.360","35.8","22.4","16.4","13.4","3.0","1.5","1.5","3.0","",".",".","",".","",".","",".",".","1.5","1.5"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","11","2.722","9.1","9.1","36.4","18.2",".",".","9.1",".","",".",".","",".","",".","",".",".","9.1","9.1"
"Sophomore","","","18","2.917","5.6","33.3","22.2","27.8","5.6","5.6",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","3.500","50.0","25.0",".","25.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","27","3.712","55.6","22.2","11.1",".","3.7",".",".","7.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","64","3.320","32.8","23.4","17.2","14.1","3.1","1.6","1.6","3.1","",".",".","",".","",".","",".",".","1.6","1.6"
"Graduate","","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","67","3.360","35.8","22.4","16.4","13.4","3.0","1.5","1.5","3.0","",".",".","",".","",".","",".",".","1.5","1.5"
