"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","14","3.930","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"692","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","22","3.917","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"729
Advanced Topics","001","","20","4.000","35.0",".",".",".",".",".",".","65.0",".",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Sem-Plant Biochem Advanced","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr-Biomolec Structur (Adv)","001","","27","3.500","14.8","18.5","14.8",".",".",".",".","48.1",".",".",".",".",".",".","3.7","."
"907
Smr-Molecular Genetics(Adv)","001","","17","4.000","64.7",".",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"909
Smr-Enzymology (Advanced)","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","14","4.000","14.3",".",".",".",".",".",".","78.6","7.1",".",".",".",".",".",".","."
"911
Smr:Molec Mech-Hormone Act","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-RiboGroup (Advanced)","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","21","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 12 of 397"
