"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Organization of Information","551","001","","40","3.913","85.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","35","3.686","51.4","34.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","46","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","631","001","","34","3.894","85.3","5.9","2.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","640","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","002","","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","","Course Total","","25","3.680","44.0","48.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Telecom&Libr/Info Agencies","644","001","","26","3.788","65.4","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651","001","","39","3.782","59.0","38.5","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","","Course Total","","40","3.763","57.5","37.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653","001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712","001","","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indexing","817","001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855","001","","31","3.817","64.5","29.0","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","855","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","","Course Total","","34","3.833","67.6","26.5","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lib&Info User Services","940","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Storage & Retrievl","975","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","977","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","24","3.815","75.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
