"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","175
003","","31","3.413","9.7","48.4","9.7","6.5",".",".",".","25.8",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","88","3.479","30.7","27.3","19.3","2.3","3.4",".",".","17.0",".",".",".",".",".",".",".","."
"Orienteering","194
001","","14","3.708","35.7","50.0",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","201
001","","13","3.409","30.8","23.1","23.1",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"","201
002","","13","3.000","7.7","30.8",".",".",".",".","7.7","46.2",".",".",".",".",".","7.7",".","."
"","201
003","","12","3.611","41.7","16.7","8.3","8.3",".",".",".","25.0",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","38","3.385","26.3","23.7","10.5","2.6","2.6",".","2.6","28.9",".",".",".",".",".","2.6",".","."
"","211
001","","14","3.167",".","57.1","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"","002
211","","18","3.464","22.2","27.8","27.8",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","211
003","","16","3.250","12.5","31.3","18.8","6.3","6.3",".",".","18.8","6.3",".",".",".",".",".",".","."
"","211
004","","27","3.667","63.0","18.5",".","3.7",".",".","3.7","11.1",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","75","3.444","30.7","30.7","13.3","2.7","4.0",".","1.3","16.0","1.3",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","26","3.200","11.5","15.4","23.1",".","7.7",".",".","42.3",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","18","3.313","22.2","33.3","22.2",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Golf II","238
001","","19","3.571","10.5","63.2",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Power Skating","244
001","","18","3.654","22.2","50.0",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"","262
001","","18","3.682","44.4","5.6","5.6",".","5.6",".",".","33.3",".",".",".",".",".","5.6",".","."
"","262
002","","17","3.333","5.9","23.5",".",".","5.9",".",".","58.8","5.9",".",".",".",".",".",".","."
"","262
003","","16","3.611","25.0","18.8","12.5",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","51","3.577","25.5","15.7","5.9",".","3.9",".",".","45.1","2.0",".",".",".",".","2.0",".","."
"Racquetball II","001
263","","11","3.583","18.2","27.3","9.1",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Basketball II","270
001","","26","3.344","3.8","34.6","23.1",".",".",".",".","34.6","3.8",".",".",".",".",".",".","."
"Soccer II","273
001","","26","3.875","73.1","15.4","3.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","275
001","","31","3.636","29.0","32.3","9.7",".",".",".",".","29.0",".",".",".",".",".",".",".","."
"","002
275","","27","3.680","51.9","22.2","18.5",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","58","3.660","39.7","27.6","13.8",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","40","3.153","17.5","17.5","32.5","20.0","2.5",".",".","7.5",".",".",".",".",".","2.5",".","."
"Bicycling","295
001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","300
001","","20","3.321","25.0","25.0","15.0",".",".",".","5.0","25.0",".",".",".",".",".","5.0",".","."
"Swim Endur&Stroke Proficncy","301
001","","23","3.722","52.2","13.0","8.7","4.3",".",".",".","21.7",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","20","3.778","25.0","20.0",".",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","15","3.731","53.3","26.7",".","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","20","3.867","60.0","10.0","5.0",".",".",".",".","20.0",".",".",".",".","5.0",".",".","."
"Lifeguard Training Renewal","313
001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","","29","3.333","13.8","34.5","27.6","6.9",".",".",".","13.8",".",".",".",".",".",".","3.4","."
"Triathlon Training","330
001","","29","3.500","6.9","24.1","6.9",".",".",".",".","62.1",".",".",".",".",".",".",".","."
"","362
001","","16","3.643","18.8","18.8","6.3",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","362
002","","21","3.192","4.8","23.8","23.8","9.5",".",".",".","33.3",".",".",".",".",".","4.8",".","."
"Tennis III","Course Total","","37","3.350","10.8","21.6","16.2","5.4",".",".",".","43.2",".",".",".",".",".","2.7",".","."
