"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"ITALIAN
508","Dept. Total","604","3.494","46.9","21.5","16.4","7.9","3.1","0.7","0.2","1.8",".",".",".","0.5","0.7","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","3.429","39.7","24.4","23.1","10.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","174","3.555","48.9","24.7","16.7","8.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"Junior","","158","3.409","41.1","25.3","17.1","8.2","5.7","0.6","0.6","1.3",".",".",".",".",".",".",".","."
"Senior","","133","3.467","48.1","18.8","17.3","6.8","4.5","1.5",".","2.3",".",".",".",".",".","0.8",".","."
"Undergraduates","","543","3.474","45.1","23.4","17.9","8.1","3.5","0.7","0.2","0.9",".",".",".",".",".","0.2",".","."
"Special","","12","3.488","58.3",".","8.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".","."
"Graduate","","48","3.872","62.5","6.3","2.1","2.1",".",".",".","10.4",".",".",".","6.3","8.3",".","2.1","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","604","3.494","46.9","21.5","16.4","7.9","3.1","0.7","0.2","1.8",".",".",".","0.5","0.7","0.2","0.2","."
