"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","15","3.714","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","102
002","16","3.281","18.8","31.3","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
102","19","3.676","57.9","15.8","10.5",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","004
102","18","3.694","83.3","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.733","52.6","10.5","15.8",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","006
102","19","3.632","57.9","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","106","3.621","53.8","21.7","13.2",".","2.8","1.9",".","6.6",".",".",".",".",".",".",".","."
"","104
001","16","3.406","25.0","43.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","104
002","24","3.167","25.0","37.5","20.8","4.2",".","12.5",".",".",".",".",".",".",".",".",".","."
"","003
104","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","20","3.375","20.0","50.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","104
005","15","3.233","20.0","53.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","89","3.360","29.2","41.6","19.1","3.4","2.2","3.4","1.1",".",".",".",".",".",".",".",".","."
"","112
001","18","2.885","5.6","22.2","22.2","16.7",".",".","5.6","27.8",".",".",".",".",".",".",".","."
"","112
002","17","3.036","11.8","23.5","35.3","5.9",".",".","5.9","17.6",".",".",".",".",".",".",".","."
"","112
003","18","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
112","18","3.361","22.2","27.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","17","3.794","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","20","3.325","40.0","20.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","112
007","21","3.262","19.0","57.1","9.5","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","112
008","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","142","3.306","23.9","33.1","28.2","4.9","1.4","0.7","2.1","5.6",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","160","3.632","60.0","25.6","7.5","1.3","1.9","1.9","1.3","0.6",".",".",".",".",".",".",".","."
"","001
212","14","3.643","64.3","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.300","40.0","15.0","30.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","212
003","20","3.625","55.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","18","3.441","27.8","27.8","38.9",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","212
005","19","3.474","73.7","10.5","5.3",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","91","3.489","51.6","17.6","20.9","4.4","1.1","1.1","2.2",".",".",".",".",".",".","1.1",".","."
"","214
001","16","3.156","6.3","37.5","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","214
002","12","3.000",".","58.3","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","28","3.089","3.6","46.4","35.7","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","222
001","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","18","3.528","44.4","16.7","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
222","18","3.417","38.9","27.8","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","53","3.528","37.7","37.7","20.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","224
001","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
224","16","3.233","31.3","18.8","37.5",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","224
003","20","3.789","80.0",".","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","50","3.542","50.0","20.0","22.0",".","2.0",".","2.0","4.0",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","12","3.091","25.0","25.0","25.0","8.3",".",".","8.3",".",".",".",".",".",".","8.3",".","."
"","232
002","10","2.900","10.0","10.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","232
003","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
004","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 71 of 397"
