"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","155","3.310","40.6","11.6","31.6","3.9","11.0","1.3",".",".",".",".",".",".",".",".",".","."
"","304
001","24","3.604","50.0","20.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","25","3.280","28.0","16.0","44.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","304
003","25","3.520","28.0","48.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","23","3.457","26.1","39.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","23","3.522","39.1","30.4","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","23","3.326","17.4","30.4","52.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","143","3.451","31.5","30.8","35.0","2.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"Biological Interactions","333
001","87","3.576","56.3","8.0","31.0",".","3.4",".",".","1.1",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","385","3.418","40.8","17.9","32.7","2.3","5.5","0.5",".","0.3",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","72","3.159","29.2","18.1","34.7","4.2","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Junior","","201","3.376","35.3","19.9","36.8","2.5","5.5",".",".",".",".",".",".",".",".",".",".","."
"Senior","","112","3.639","58.0","14.3","24.1","0.9","1.8",".",".","0.9",".",".",".",".",".",".",".","."
"Undergraduates","","385","3.418","40.8","17.9","32.7","2.3","5.5","0.5",".","0.3",".",".",".",".",".",".",".","."
"","Dept. Total","385","3.418","40.8","17.9","32.7","2.3","5.5","0.5",".","0.3",".",".",".",".",".",".",".","."
