"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","103","2.720","14.6","15.5","20.4","11.7","29.1","2.9","2.9","1.0",".",".",".",".",".",".","1.9","."
"Intro-Random Sig Anal&Stats","331
001","49","2.847","6.1","18.4","36.7","24.5","10.2","4.1",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","30","2.733","10.0","13.3","33.3","20.0","16.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","38","3.079","26.3","21.1","23.7","10.5","15.8",".","2.6",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","64","3.180","28.1","14.1","35.9","9.4","12.5",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","123","2.930","27.6","14.6","11.4","25.2","13.8","4.1","2.4",".",".",".",".",".",".",".",".","0.8"
"Electronic Circuits II","342
001","88","3.328","34.1","20.5","30.7","3.4","10.2",".",".","1.1",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","345
001","22","2.786","13.6","22.7","13.6","9.1","31.8","4.5",".","4.5",".",".",".",".",".",".",".","."
"","350
001","22","3.659","59.1","27.3","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
350","24","3.708","54.2","37.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","24","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","93","3.661","49.5","39.8","5.4","4.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","351
006","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
351","14","3.500","42.9","28.6","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","107","3.650","51.4","32.7","12.1","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","001
352","43","2.953","18.6","16.3","25.6","20.9","16.3","2.3",".",".",".",".",".",".",".",".",".","."
"","352
002","18","2.528","11.1","5.6","27.8","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","61","2.828","16.4","13.1","26.2","21.3","18.0","3.3","1.6",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","001
353","57","2.755","14.0","14.0","22.8","19.3","19.3","5.3","1.8",".",".",".",".",".",".",".","1.8","1.8"
"","354
001","12","3.364","25.0","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"","002
354","15","3.200","33.3","20.0","6.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","27","3.269","29.6","22.2","18.5","22.2","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"","355
002","25","2.660","8.0","20.0","20.0","16.0","28.0","8.0",".",".",".",".",".",".",".",".",".","."
"","355
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","28","2.673","7.1","17.9","21.4","14.3","25.0","7.1",".",".",".",".",".",".",".","7.1",".","."
"","370
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","57","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","97","3.067","13.4","13.4","58.8","6.2","7.2",".","1.0",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","82","2.720","13.4","23.2","19.5","15.9","12.2","14.6","1.2",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
