"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","250","3.222","33.6","18.8","22.0","15.2","4.4","2.8","1.2","1.2",".",".",".",".",".",".","0.8","."
"Weather and Climate","101","001","136","3.470","46.3","25.0","13.2","9.6","3.7","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","35","2.775","8.6","20.0","28.6","14.3","22.9","5.7",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","49","3.135","44.9","8.2","20.4","6.1","10.2","2.0","6.1","2.0",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","60","3.350","28.3","40.0","18.3","6.7","5.0",".","1.7",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","17","2.382","11.8","5.9","29.4","11.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","16","2.688","12.5","6.3","37.5","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","19","3.684","63.2","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","21","3.095","19.0","14.3","52.4","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Num Technique-Weather Predictn","471","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","11","3.273","18.2","27.3","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","509","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","509","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Geophys Fluid Dynamics II","611","001","8","3.313","25.0","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Atmospheric Chemistry","638","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","15","3.233","33.3","33.3","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Senior Thesis","692","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Gen Circulatn of Atmosphere","712","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","910","001","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","910","002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Climatology","","Course Total","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr-Atmospheric Chemistry","932","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiatn&Remote Sensing Seminar","940","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
