"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4658","3.374","33.8","24.8","21.4","7.5","3.3","0.9","0.7","1.3","",".","4.7","0.2","1.2","0.2","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","724","3.289","25.3","30.2","28.2","7.3","4.1","1.0","0.8",".","",".","2.6","0.3",".",".","0.1",".","."
"Sophomore","","1247","3.379","31.1","30.3","22.9","8.3","2.7","0.7","0.3","0.1","",".","3.4",".",".",".","0.1",".","."
"Junior","","1003","3.282","29.9","25.9","25.5","9.1","3.9","1.6","1.1","0.4","",".","2.2","0.2",".",".","0.2",".","."
"Senior","","1178","3.394","41.7","21.8","20.4","8.4","4.2","0.7","1.1","1.0","",".","0.3",".",".","0.2","0.2","0.2","."
"Undergraduates","","4152","3.344","32.8","26.8","23.7","8.3","3.7","1.0","0.8","0.4","",".","2.1","0.1",".","0.0","0.1","0.0","."
"Special","","89","3.522","24.7","14.6","9.0","2.2","2.2",".",".","4.5","",".","41.6","1.1",".",".",".",".","."
"Graduate","","413","3.933","44.8","6.3","0.2",".",".",".",".","9.7","",".","23.0","0.7","13.6","1.5",".",".","0.2"
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","4658","3.374","33.8","24.8","21.4","7.5","3.3","0.9","0.7","1.3","",".","4.7","0.2","1.2","0.2","0.1","0.0","0.0"
