"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","425
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","Course Total","50","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
004","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","61","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Sec Schl French","446
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl German","447
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in Latin","455
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl Spanish","456
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","467
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","95","3.863","80.0","12.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy Across the Curriculum","503
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","64","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","81","3.932","87.7","11.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","145","3.955","91.7","7.6","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541
001","29","3.828","89.7","6.9",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","24","3.813","91.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prob-Tchg Foreign Lang","564
001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Pract-Spec Ed in the Arts","566
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 85 of 397"
