"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","002
170","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","13","3.833","61.5","30.8",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","170
005","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","006
170","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","76","3.904","81.6","11.8","1.3","1.3",".",".",".","1.3",".",".",".",".",".","2.6",".","."
"Electrodynamics I","220
001","112","2.991","18.8","19.6","33.9","10.7","10.7","5.4","0.9",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","121","2.860","14.9","19.0","24.0","22.3","14.9","2.5","2.5",".",".",".",".",".",".",".",".","."
"","270
001","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","002
270","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
270","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
270","15","3.786","53.3","40.0",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","008
270","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","009
270","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","131","3.785","62.6","30.5","3.1","0.8","0.8",".",".",".",".",".",".",".",".","1.5",".","0.8"
"","271
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","16","3.667","37.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","271
004","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","005
271","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","86","3.659","47.7","37.2","12.8",".","1.2",".",".",".",".",".",".",".",".",".",".","1.2"
"Trans Lines & Netwks Lab","301
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","24","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
004","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","39","3.577","48.7","33.3","15.4",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","315
001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","32","3.734","50.0","46.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","65","3.108","29.2","4.6","41.5","16.9","4.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","47","3.947","93.6","2.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 114 of 397",""
