"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2343","3.194","29.7","19.7","21.9","11.9","7.3","1.1","1.0","4.0","0.0","0.0","",".","2.8","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.357","35.6","26.0","16.4","11.0","11.0",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","253","3.054","27.3","21.3","22.9","14.6","9.1","1.2","3.2",".",".",".","",".",".","0.4",".",".","."
"Junior","","555","3.004","22.9","20.4","24.9","17.8","10.5","1.8","1.4",".",".",".","",".",".",".","0.2","0.2","."
"Senior","","976","3.175","28.0","21.9","26.3","12.9","8.2","1.3","0.8","0.4",".",".","",".",".","0.1",".",".","."
"Undergraduates","","1857","3.117","26.7","21.5","25.0","14.5","9.1","1.4","1.3","0.2",".",".","",".",".","0.1","0.1","0.1","."
"Special","","37","3.565","40.5","16.2","18.9",".","2.7",".",".",".",".",".","",".",".","16.2","2.7","2.7","."
"Graduate","","450","3.670","41.6","12.4","8.9","1.8","0.2",".",".","19.8","0.2","0.2","",".","14.7",".",".","0.2","."
"","Dept. Total","2344","3.194","29.7","19.7","21.8","11.9","7.3","1.1","1.0","4.0","0.0","0.0","",".","2.8","0.3","0.1","0.1","."
