"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","46","3.196","34.8","15.2","26.1","15.2","4.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"120","002","","247","2.867","21.5","13.0","24.7","16.2","13.8","6.5","2.0","2.4",".",".",".",".",".",".",".","."
"120","003","","251","2.984","27.1","16.7","17.5","15.1","13.9","7.2","0.4","2.0",".",".",".",".",".",".",".","."
"Science of Food","Course Total","","544","2.949","25.2","14.9","21.5","15.6","13.1","6.4","1.3","2.0",".",".",".",".",".",".",".","."
"201
Introduction to Food Science","001","","41","",".",".",".",".",".",".",".",".",".","92.7","7.3",".",".",".",".","."
"235
Nature of Food","001","","111","3.077","33.3","9.0","34.2","2.7","12.6","5.4","1.8","0.9",".",".",".",".",".",".",".","."
"236","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","003","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"305
Intro-Meat Sci & Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","58","3.438","32.8","32.8","17.2","13.8",".",".",".",".",".",".",".",".","1.7",".",".","1.7"
"399
Coord Intrnshp/Cooprtv Educ","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Food Chemistry I","001","","20","3.125","30.0","20.0","15.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","9","3.111","11.1","33.3","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","23","2.957","26.1","8.7","30.4",".","34.8",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","40","3.300","15.0","37.5","40.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"539
Org & Mgmt of Food Services","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"542
Food Engineering Operations","001","","7","2.143",".",".","28.6",".","57.1","14.3",".",".",".",".",".",".",".",".",".","."
"565
Food Process Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"601
Career Orientation","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Food Flavors","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
