"","990
064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","81.5",".",".",".","16.7",".",".","1.9","."
"ZOOLOGY
970","Dept. Total","3732","3.041","31.5","13.4","25.9","7.5","14.1","4.3","1.1","1.4",".","0.1",".","0.2","0.0","0.0","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","632","2.957","29.7","15.7","24.8","9.0","13.8","5.4","0.9",".",".",".",".",".",".",".","0.5","0.2"
"Sophomore","","1031","2.962","28.7","13.1","27.9","7.2","17.0","4.8","1.3","0.1",".",".",".",".",".",".",".","."
"Junior","","936","3.092","30.0","13.7","29.5","7.5","13.5","4.4","1.0","0.1",".","0.1",".",".","0.1",".","0.1","0.1"
"Senior","","965","3.092","35.8","12.5","24.6","7.7","14.0","3.7","1.2","0.3",".","0.1",".",".",".",".","0.1","."
"Undergraduates","","3564","3.031","31.1","13.6","26.9","7.7","14.7","4.5","1.1","0.1",".","0.1",".",".","0.0",".","0.1","0.1"
"Special","","44","3.248","38.6","20.5","6.8","6.8","6.8","2.3","4.5","4.5",".",".",".",".",".",".","9.1","."
"Graduate","","122","3.764","40.2","6.6","4.1","0.8",".",".",".","38.5",".",".",".","7.4",".","0.8","1.6","."
"Prof Yr 3","","2","3.100","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","3.100","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","3732","3.041","31.5","13.4","25.9","7.5","14.1","4.3","1.1","1.4",".","0.1",".","0.2","0.0","0.0","0.3","0.1"
