"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","311","3.515","42.4","32.5","15.8","3.5","3.2","0.6","1.0","0.3",".",".",".",".",".",".","0.6","."
"Voice Training","140
001","20","3.625","60.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.765","66.7","16.7","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","150
004","18","3.528","61.1","11.1","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.353","64.7","11.8","11.8",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"","150
006","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","173","3.831","83.2","9.2","3.5","1.2","1.2",".","1.2","0.6",".",".",".",".",".",".",".","."
"","161
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
009","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","39","3.846","82.1","5.1","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","001
170","18","3.621","83.3","5.6",".",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","200
001","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre&Drama from 18c","222
001","68","3.366","26.5","32.4","29.4","7.4","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","28","3.179","28.6","14.3","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","17","3.382","23.5","41.2","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
002","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","Course Total","19","3.526","26.3","52.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","22","3.893","81.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","362
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
362","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","31","3.790","77.4","16.1","3.2",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","001
366","17","3.573","52.9","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","14","3.344","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Management","379
001","14","3.607","42.9","50.0",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
