"","990
083","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","58","",".",".",".",".",".","",".","",".","87.9",".",".",".","12.1",".",".",".","."
"AHABS
952","Dept. Total","155","3.531","34.8","6.5","11.6","1.9","2.6","",".","",".","32.9",".",".",".","5.2","4.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","4","3.318","50.0",".","25.0","25.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","36","3.500","55.6","8.3","27.8","2.8","5.6","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","43","3.508","58.1","7.0","25.6","4.7","4.7","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","3","3.333","66.7",".",".",".","33.3","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","109","3.577","24.8","6.4","6.4","0.9","0.9","",".","",".","46.8",".",".",".","7.3","6.4",".",".","."
"","Dept. Total","155","3.531","34.8","6.5","11.6","1.9","2.6","",".","",".","32.9",".",".",".","5.2","4.5",".",".","."
