"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","14","3.708","42.9","35.7","7.1",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"130
Family & Consumer Newswrtg","001","","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"212
Intro-Scientific Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Family & Consumer Features","001","","18","3.139","11.1","38.9","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"435
Integrated Marktng Communicatn","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"515","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"515","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","16","3.308","31.3","6.3","31.3","6.3","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"601
Internship","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","134","3.600","42.5","33.6","12.7","2.2","2.2",".",".","2.2",".","3.0",".",".",".","1.5",".","."
