"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","33","3.661","42.4","39.4","12.1",".",".",".",".","3.0",".",".",".",".",".",".","3.0","."
"300","002","","21","3.595","28.6","61.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","37","3.757","54.1","35.1","5.4",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"School and Society","Course Total","","134","3.731","51.5","38.8","6.7",".",".",".",".","2.2",".",".",".",".",".",".","0.7","."
"399
Independent Reading","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","26","3.058","30.8","7.7","30.8","19.2","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","37","3.095","5.4","35.1","35.1","21.6","2.7",".",".",".",".",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","14","3.603","78.6","7.1",".",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"545
Philos Concepts-Tch&Learng","001","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Hist-Educ of Black Americns","001","","7","3.417","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","14.3","."
"570
Anthropology and Education","001","","12","3.800","58.3","16.7","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"699
Independent Reading","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"700
Colloquium-Ed Pol Studies","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","16","3.833","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"830
Financng Elem&Secondry Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963
Ed Plan&Curric-Dev Country","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","89.3",".",".",".","10.7",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","12","3.900","58.3",".","8.3",".",".",".",".","8.3",".",".",".",".","16.7",".","8.3","."
