"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.206","33.3","27.8","11.1","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"","101
002","20","3.316","60.0",".","10.0",".","20.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","101
003","21","3.684","57.1","14.3","14.3","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"","004
101","19","3.447","57.9","10.5","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","78","3.419","52.6","12.8","14.1","5.1","6.4","1.3","2.6","5.1",".",".",".",".",".",".",".","."
"","001
102","19","3.158","42.1","15.8","21.1","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","102
002","23","3.455","47.8","13.0","17.4","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","102
003","23","3.696","56.5","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.609","62.5","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","4.2"
"","005
102","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","103","3.495","51.5","16.5","19.4","4.9","3.9","1.0","1.0","1.0",".",".",".",".",".",".",".","1.0"
"Second Semester Dutch","112
001","7","2.917","28.6",".",".","42.9","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"","203
001","19","3.500","47.4","36.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","203
002","23","3.478","47.8","26.1","13.0",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"","203
003","15","3.714","60.0","13.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","57","3.545","50.9","26.3","14.0",".","5.3",".","1.8","1.8",".",".",".",".",".",".",".","."
"","204
001","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","19","3.528","36.8","26.3","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","60","3.686","56.7","21.7","20.0",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","14","3.393","14.3","64.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","221
002","24","3.458","41.7","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","38","3.434","31.6","36.8","23.7","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","16","3.469","25.0","56.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","17","3.563","29.4","52.9","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","225
002","9","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","225
003","17","3.588","47.1","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","43","3.585","39.5","39.5","11.6","2.3","2.3",".",".","4.7",".",".",".",".",".",".",".","."
"","226
001","14","3.636","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
226","16","3.650","56.3","12.5","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","30","3.644","46.7","33.3","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Intro to German Literature","274
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in German Culture","278
001","63","3.385","34.9","25.4","20.6","11.1","4.8",".",".","3.2",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Literatur des 19. Jahrhunderts","303
001","12","3.577","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Business German","331
001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
