"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","68","2.794","26.5","8.8","16.2","20.6","17.6","7.4","2.9",".",".",".",".",".",".",".",".","."
"","201
002","69","2.902","24.6","15.9","20.3","8.7","15.9","8.7","1.4","2.9","1.4",".",".",".",".",".",".","."
"Principles of Statistics","Course Total","137","2.847","25.5","12.4","18.2","14.6","16.8","8.0","2.2","1.5","0.7",".",".",".",".",".",".","."
"","001
224","65","3.277","26.2","29.2","32.3","4.6","6.2",".","1.5",".",".",".",".",".",".",".",".","."
"","002
224","86","3.099","27.9","20.9","17.4","19.8","9.3","4.7",".",".",".",".",".",".",".",".",".","."
"","224
003","72","3.444","37.5","34.7","16.7","6.9","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","223","3.262","30.5","27.8","21.5","11.2","6.3","1.8","0.9",".",".",".",".",".",".",".",".","."
"","301
001","102","3.142","28.4","16.7","28.4","17.6","5.9","1.0","2.0",".",".",".",".",".",".",".",".","."
"","301
002","137","3.314","38.7","19.0","20.4","13.1","7.3","1.5",".",".",".",".",".",".",".",".",".","."
"","301
003","86","3.209","46.5","16.3","11.6","9.3","5.8","8.1","2.3",".",".",".",".",".",".",".",".","."
"","301
004","98","3.268","49.0","19.4","7.1","9.2","4.1","7.1","3.1",".",".",".",".",".",".","1.0",".","."
"","301
005","64","3.320","39.1","29.7","14.1","6.3","6.3","1.6","3.1",".",".",".",".",".",".",".",".","."
"","301
006","87","2.937","26.4","12.6","25.3","13.8","14.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","574","3.203","38.0","18.5","18.3","12.0","7.3","3.7","2.1",".",".",".",".",".",".","0.2",".","."
"Intro to Math Statistics","310
001","23","3.304","34.8","17.4","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","68","3.051","23.5","13.2","36.8","8.8","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","34","3.118","14.7","26.5","35.3","14.7","8.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","77","3.110","29.9","10.4","36.4","9.1","9.1","5.2",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","22","3.405","50.0",".","27.3","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","22","3.225","27.3","22.7","13.6","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","371
001","102","3.025","20.6","20.6","26.5","15.7","9.8","1.0","2.9","2.0",".",".",".",".","1.0",".",".","."
"Appl Categorical Data Anal","421
001","15","3.200","20.0","40.0","26.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","25","2.900","12.0","20.0","16.0","40.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","2.833","16.7","33.3",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","16","3.833","56.3","12.5","6.3",".",".",".",".",".",".",".",".",".","12.5",".","12.5","."
"Stat Meth for Bioscience II","572
001","69","3.478","29.0","34.8","33.3",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","19","3.579","52.6","26.3","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","32","3.547","46.9","25.0","21.9","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Statistics","692
001","10","3.947","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Directed Study","698
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Mathematical Statistics","710
001","22","3.595","36.4","40.9","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Survival Anal Thry & Mthds","741
001","31","3.758","51.6","48.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
