"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","69","2.981","23.2","15.9","27.5","10.1","20.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"","300
002","194","3.021","22.7","9.8","37.1","12.9","16.0","1.5",".",".",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
010","132","2.855","28.8","8.3","25.0","8.3","19.7","3.8","5.3","0.8",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","398","2.965","25.1","10.6","31.2","10.8","17.8","2.3","2.0","0.3",".",".",".",".",".",".",".","."
"","305
001","64","3.254","29.7","17.2","35.9","7.8","6.3","1.6",".","1.6",".",".",".",".",".",".",".","."
"","305
002","58","3.147","31.0","12.1","34.5","3.4","17.2","1.7",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","122","3.202","30.3","14.8","35.2","5.7","11.5","1.6",".","0.8",".",".",".",".",".",".",".","."
"","365
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","13","3.600","38.5","23.1","7.7","7.7",".",".",".","23.1",".",".",".",".",".",".",".","."
"","002
365","17","3.600","35.3","35.3","17.6",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.630","40.6","28.1","12.5","3.1",".",".",".","15.6",".",".",".",".",".",".",".","."
"","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","4","***","","","","","","","","","","","","","","","",""
"The Management of Teams","001
401","43","3.372","41.9","14.0","27.9","9.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"","420
001","35","3.757","68.6","14.3","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","26","3.788","76.9","3.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","61","3.770","72.1","9.8","18.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","001
422","33","3.516","33.3","42.4","15.2","3.0","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"","423
001","39","3.568","33.3","43.6","15.4","2.6",".",".",".","2.6",".",".",".",".",".","2.6",".","."
"","423
002","18","3.556","27.8","55.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","57","3.564","31.6","47.4","15.8","1.8",".",".",".","1.8",".",".",".",".",".","1.8",".","."
"Seminar: Organizational Issues","470
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","46","3.750","65.2","19.6","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","001
613","27","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","16","3.713","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","19","3.759","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","44","3.830","75.0","18.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","28","3.804","71.4","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","701
030","34","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","106","3.840","74.5","20.8","2.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","38","3.908","89.5","7.9",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
702","29","3.893","75.9","20.7",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","702
030","34","3.809","61.8","38.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","101","3.870","76.2","21.8",".",".","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Human Resource Management","001
705","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","31","3.661","41.9","51.6","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
722","24","3.761","58.3","29.2","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","55","3.704","49.1","41.8","5.5","1.8",".",".",".","1.8",".",".",".",".",".",".",".","."
